# Per-capita Net State Domestic Product at constant 2011-12 prices (INR).
# Source: RBI Handbook of Statistics on Indian States 2024-25, Table 20
# (published 11-Dec-2025; underlying data from MOSPI/NSO). FY = April-March.
state_code,fy,pc_nsdp_constant_2011_12_inr,source,quality
MP,2013-14,42548,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MP,2014-15,44027,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MP,2015-16,47351,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MP,2016-17,52782,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MP,2017-18,54824,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MP,2018-19,59005,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MP,2019-20,60452,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MP,2020-21,56037,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MP,2021-22,61011,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MP,2022-23,63681,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MP,2023-24,67301,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MP,2024-25,70434,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MZ,2011-12,57654,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MZ,2012-13,60261,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MZ,2013-14,67594,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MZ,2014-15,85056,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MZ,2015-16,91845,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MZ,2016-17,99089,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MZ,2017-18,117272,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MZ,2018-19,119022,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MZ,2019-20,130741,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MZ,2020-21,116229,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MZ,2021-22,123907,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MZ,2022-23,137682,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
MZ,2023-24,151676,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
NL,2011-12,53010,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
NL,2012-13,55482,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
NL,2013-14,58619,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
NL,2014-15,60372,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
NL,2015-16,60663,"RBI Handbook of Statistics on Indian States 2024-25, Table 20",official
